ARO	Gene Name	Antibiotic	AMR Gene Family	Drug Class	Resistance Mechanism
3000005	vanD	vancomycin, teicoplanin	glycopeptide resistance gene cluster, Van ligase	glycopeptide antibiotic	antibiotic target alteration
3000010	vanA	vancomycin, teicoplanin	glycopeptide resistance gene cluster, Van ligase	glycopeptide antibiotic	antibiotic target alteration
3000013	vanB	vancomycin	glycopeptide resistance gene cluster, Van ligase	glycopeptide antibiotic	antibiotic target alteration
3000024	patA	ciprofloxacin, norfloxacin	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
3000025	patB	ciprofloxacin, norfloxacin	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
3000026	mepA	tigecycline	multidrug and toxic compound extrusion (MATE) transporter	glycylcycline, tetracycline antibiotic	antibiotic efflux
3000027	emrA	nalidixic acid	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
3000074	emrB	nalidixic acid	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
3000090	Bla1		class A Bacillus anthracis Bla beta-lactamase	penam	antibiotic inactivation
3000118	vgaB	virginiamycin M1, dalfopristin	vga-type ABC-F protein	streptogramin antibiotic, streptogramin A antibiotic, pleuromutilin antibiotic	antibiotic target protection
3000124	mecI	methicillin	methicillin resistant PBP2	penam	antibiotic target replacement
3000149	FosA	fosfomycin	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
3000165	tet(A)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000166	tet(B)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000167	tet(C)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000168	tet(D)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000172	FosB	fosfomycin	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
3000173	tet(E)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
